rank,word,count,review_count,review_pct
244,wish,7,7,1.7
245,acid,7,7,1.7
246,couple,7,6,1.5
247,hand,7,7,1.7
248,pleasant,7,6,1.5
249,caused,7,7,1.7
250,applying,7,7,1.7
251,extra,7,5,1.2
252,moisturizes,7,7,1.7
253,original,7,6,1.5
254,twice,7,7,1.7
255,pores,7,6,1.5
256,away,7,7,1.7
257,due,7,6,1.5
258,impressed,7,7,1.7
259,find,7,7,1.7
260,second,7,7,1.7
261,wonders,7,7,1.7
262,hydrates,7,7,1.7
263,beauty,7,7,1.7
264,dries,7,6,1.5
265,softer,7,7,1.7
266,winter,7,6,1.5
267,tony,7,6,1.5
268,tone,6,6,1.5
269,calming,6,5,1.2
270,shower,6,6,1.5
271,putting,6,6,1.5
272,giving,6,6,1.5
273,sehr,6,5,1.2
274,con,6,5,1.2
275,simple,6,6,1.5
276,round,6,6,1.5
277,free,6,6,1.5
278,boost,6,6,1.5
279,spots,6,5,1.2
280,haut,6,5,1.2
281,und,6,5,1.2
282,change,6,5,1.2
283,already,6,6,1.5
284,oil,6,5,1.2
285,irritated,6,6,1.5
286,wanted,6,6,1.5
287,end,6,5,1.2
288,loves,6,6,1.5
289,add,6,6,1.5
290,take,6,6,1.5
291,packaging,6,5,1.2
292,tightness,6,5,1.2
293,skeptical,6,5,1.2
294,star,6,5,1.2
295,game,6,6,1.5
296,incredibly,6,6,1.5
297,anyone,6,6,1.5
298,layering,6,6,1.5
299,refreshed,6,6,1.5
300,balanced,6,6,1.5
301,obsessed,6,5,1.2
302,creamy,6,6,1.5
303,calm,6,6,1.5
304,fresh,6,6,1.5
305,wow,6,5,1.2
306,instantly,6,6,1.5
307,perfectly,6,6,1.5
308,adding,6,5,1.2
309,mist,6,3,0.7
310,added,6,6,1.5
311,extremely,6,6,1.5
312,pad,6,5,1.2
313,effective,6,5,1.2
314,der,5,3,0.7
315,formula,5,5,1.2
316,deja,5,5,1.2
317,este,5,4,1.0
318,moisturising,5,4,1.0
319,nicely,5,5,1.2
320,milk,5,5,1.2
321,sweet,5,5,1.2
322,mature,5,4,1.0
323,pat,5,5,1.2
324,hyaluronic,5,5,1.2
325,full,5,5,1.2
326,probably,5,4,1.0
327,done,5,5,1.2
328,rest,5,5,1.2
329,viel,5,2,0.5
330,high,5,5,1.2
331,notice,5,4,1.0
332,keeping,5,5,1.2
333,seems,5,5,1.2
334,strong,5,5,1.2
335,i'll,5,5,1.2
336,expired,5,2,0.5
337,return,5,4,1.0
338,thought,5,5,1.2
339,cheeks,5,5,1.2
340,everyone,5,5,1.2
341,based,5,4,1.0
342,crazy,5,4,1.0
343,click,5,5,1.2
344,play,5,5,1.2
345,video,5,5,1.2
346,nothing,5,4,1.0
347,affordable,5,5,1.2
348,anything,5,4,1.0
349,applied,5,5,1.2
350,list,5,5,1.2
351,sting,5,5,1.2
352,multiple,5,4,1.0
353,appearance,5,5,1.2
354,strengthen,5,5,1.2
355,kept,5,5,1.2
356,market,5,5,1.2
357,noticeably,5,5,1.2
358,achieve,5,5,1.2
359,wait,5,5,1.2
360,incredible,5,5,1.2
361,throughout,5,5,1.2
362,cooling,5,5,1.2
363,keeps,5,5,1.2
364,stickiness,5,5,1.2
365,recently,5,5,1.2
366,prep,5,4,1.0
367,instant,5,5,1.2
368,quick,5,5,1.2
369,directly,5,5,1.2
370,essence,5,5,1.2
371,smoother,5,5,1.2
372,instead,5,5,1.2
373,thanks,5,4,1.0
374,finish,5,5,1.2
375,part,5,4,1.0
376,loops,5,5,1.2
377,spend,5,3,0.7
378,type,5,5,1.2
379,eczema,5,3,0.7
380,gets,5,5,1.2
381,deal,5,5,1.2
382,wonderful,5,5,1.2
383,saw,5,5,1.2
384,cleanser,5,5,1.2
385,maskne,5,1,0.2
386,massive,4,4,1.0
387,haven't,4,4,1.0
388,hype,4,3,0.7
389,das,4,2,0.5
390,nicht,4,3,0.7
391,porque,4,2,0.5
392,sensible,4,2,0.5
393,per,4,4,1.0
394,agradable,4,2,0.5
395,nourished,4,4,1.0
396,base,4,4,1.0
397,tiene,4,4,1.0
