user_id,nickname,total_reviews,REVIEWER_INFO,BRAND_NAME,goods_name,option,REVIEW_DATE,REVIEW_RATING,REVIEW_ADDITIONAL_INFO,review_likes,REVIEW_CONTENT,PRODUCT_NAME,has_price_info,토너여부,브랜드여부
2758be235464d6e8a5f247eb33700083,장오니,90,"combination / fall_warm / soothing,pores,acne",독도토너,1025 독도 토너 500ml(+독도 클렌저 40ml + 워터겔 마스크 1매 증정),none,2025-03-07,5,,0,몇년째 꾸준히 쓰고 있는 제품이에요. 기본템으로 매우좋은것같아요,라운드랩1025독도토너500ml,TRUE,Y,#N/A
c0d1ba646d07b5132ff61bb6e640f267,koolyliat,342,"combination / spring_warm / soothing,pores,acne",독도토너,1025 독도 토너 200ml,NONE,2025-03-08,5,,0,가성비 좋아요 입구도 좋은거 같아요 눌러야 나오는,라운드랩1025독도토너200ml,TRUE,Y,#N/A
e9d6fde9b9936415eaa58a8c0c3fcabc,쿨한쿠바비즈,109,"combination / winter_cool / pores,moisture_control,acne",독도토너,[2pack] 1025 독도 토너 리필 300ml,NONE,2025-03-08,5,,0,리필해서 사용이 편하고 가격도 저렴해서 좋아요,라운드랩1025독도토너리필300ml,FALSE,Y,#N/A
6655a57852aadc97fb79424e7bcae97c,밤태쓰,685,"combination / spring_warm / nutrition,soothing,brightening",독도토너,1025 독도 토너 200ml + 독도 로션 200ml,none,2025-03-08,5,,0,"라운드랩 제품들이 순하고 좋네요  토너,로션 뿐 아니라 수분크림도 애용중인데  계속 재구매 의사 있습니다",라운드랩1025독도토너200ml독도로션200ml,TRUE,Y,#N/A
b7cc62ea3cf1383f1ad6248dc5b94bf6,jmk7190,177,"dry / spring_warm / soothing,pores,moisture_control",독도토너,1025 독도 토너 500ml + 독도 로션 200ml,none,2025-03-08,5,,1,부모님 선물로 사드렸는데 너무 좋아하시네요~! 저렴한 가격에 잘 구매한 거 같아좋아요. 다음에 세일하면 또 구매할 예정입니다!,라운드랩1025독도토너500ml독도로션200ml,TRUE,Y,#N/A
0033665fa1c5562a84b60b833dc0d35d,쌈박한회색바지,194,combination / spring_warm / soothing,독도토너,1025 독도 토너 200ml,NONE,2025-03-09,5,,0,배송 빠릅니다. 포장 꼼꼼합니다. 양이 많아서 만족합니다.,라운드랩1025독도토너200ml,TRUE,Y,#N/A
b8728fcf6a8c86101cfaa79d4f084285,지우슈,152,"dry / fall_warm / pores,soothing",독도토너,1025 독도 토너 200ml,NONE,2025-03-09,5,,0,독도토너 순하고 너무 좋아요! 재구매의사 있습니다. 감사합니다.,라운드랩1025독도토너200ml,TRUE,Y,#N/A
f2e11fe1b76e53181e5bee405d8c8d39,우디이V,319,dry / spring_warm / soothing,독도토너,1025 독도 토너 200ml,NONE,2025-03-09,4,,0,평소에도 잘 쓰는 제품이에요. 무난하게 쓰기 좋습니당,라운드랩1025독도토너200ml,TRUE,Y,#N/A
6986e29279254f3f57f45ae0e9468e3d,Henry19,371,"combination / winter_cool / soothing,pores,acne",독도토너,1025 독도 토너 200ml,NONE,2025-03-11,5,,0,독도토너는 항상 꾸준히 사용중입니다 자극이 없어서 좋아요,라운드랩1025독도토너200ml,TRUE,Y,#N/A
6986e29279254f3f57f45ae0e9468e3d,Henry19,371,"combination / winter_cool / soothing,pores,acne",독도토너,1025 독도 토너 200ml,NONE,2025-03-11,5,,0,독도토너는 꾸준히 사용중입니다 자극이 없어서 좋네요,라운드랩1025독도토너200ml,TRUE,Y,#N/A
bdb8494abff1f31e95425f9a49ff686a,학종이종학,1209,combination / fall_warm / soothing,독도토너,1025 독도 토너 200ml,NONE,2025-03-11,5,,0,착하고 순한 토너 찾으신다면 독도토너 추천드립니다,라운드랩1025독도토너200ml,TRUE,Y,#N/A
