review_id,star_filter,rating,title,body,author,date_raw,verified_purchase,helpful
R1C17QG8KK3SPG,two_star,2.0,Burned,Idk why everyone loves this. I have sensitive rosacea skin and this burned my face. Im guessing due to the citrus in it. If you are going to say something is fragrance free dont add citrus products that defeats the purpose.,Somebody,Reviewed in the United States on 29 May 2023,True,
RC25MPAAXOL8G,two_star,2.0,it came broken,good product but it arrived broken,Maroh esi,Reviewed in the United States on 10 February 2023,True,
R2J7JKUR3EQZWQ,two_star,2.0,Not for me,"Based on the reviews and my love for milky toners, I went for it and purchased this one just to try something new! And after just a few days of using it my face was enflamed, irritated, and little pustules were popping up everywhere. The point of it is also hydration and my skin was dry and my pores enlarged like crazy in just a few days. It’s not the texture of other ones I’ve used in the past either. It seemed promising when first dispensed into the palm of my hand but as soon as I put it on my face it felt odd, almost rubbery in a way. Wanted to love this but unfortunately it’s not for me. But take the chance I guess because it seems I’m in the minority based on reviews!",Katie,Reviewed in the United States on 9 February 2023,True,
RPAMM2M8IEPKI,two_star,2.0,Face broke out,"It has a very lemony scent and it smells good, but a bit overpowering when it’s on your face. It made my sensitive, acne prone skin face break out :(",Taylor Chattin,Reviewed in the United States on 21 December 2022,True,
R10UULOJYIJ01R,two_star,2.0,Not the best option,"Click to play video
Honestly, it's not the best, it does leave a moisturizing and refreshing sensation at first, but as time goes by it feels greasy. I won't buy it again.",EP,Reviewed in the United States on 9 December 2022,True,
R36IGGZB3RJ07S,two_star,2.0,Flare up,"Not for me, my skin is really picky, and this broke me out.",Sophia,Reviewed in the United States on 6 April 2021,True,
RTXD11V96HGK1,two_star,2.0,MUST,"I have had dry, dehydrated, flaky and itchy skin for months. I have used many skincare products to get rid of my acne and dry skin but this takes it all. I’m 18 and I’ve had acne for about 5 years now and this literally smoothed and healed my skin in less than a week.. I see improvements in skin tone and my skin feels soft like a baby.. it’s a must if you want clear skin

Update: my skin became worse over time, there’s fragrance",Yoy,Reviewed in the United States on 28 May 2020,True,
RPI1IN3IIMG59,one_star,1.0,Do not purchase this one!!,"Damaged my skin. I have dry skin, it broke my skin off and caused acne",Neelam Samyuktha,Reviewed in the United Kingdom on 13 August 2025,True,
RUPDGVOGNKZI9,one_star,1.0,Not for me,"Gave me spots which I didn’t expect
I requested a refund as it was free return and I’m still waiting
Not impressed",Valentina Stan,Reviewed in the United Kingdom on 12 August 2025,True,
REZ10SMOPN86Y,one_star,1.0,1/10,"It has no smell and milky thicker texture. I did not like it on my skin though, it does nothing comparing to other Korean tonners",Iryna,Reviewed in the United Kingdom on 31 May 2025,True,One person found this helpful
R1T7FU9SYUGFNF,one_star,1.0,I dont like it,I don't like it it make my face look dry and somehow,Akua,Reviewed in Belgium on 14 April 2026,True,
R1OS0XOFHCP80D,one_star,1.0,Pas pour moi,"Malheureusement ce toner ne m'a pas réussi du tout 3 utilisations et il a fait pire que mieux irritations rougeurs et ma peau qui me brûle atrocement je l'ai acheté car je voulais restaurer ma barrière cutanée vu qu'il contient des ceramides mais c'est un échec total , sous le maquillage la dernière utilisation il m'a piqué toute la journée j'ai ressenti un inconfort et le soir lorsque j'ai voulu me démaquiller avec le frottement du coton ma peau est devenue rouge vif comme si j'avais pris un coup de soleil j'ai du réparer ça avec de la cold cream !",Coralie,Reviewed in France on 29 November 2025,True,
